,start,end,anesthesiologist_id,room_id
0,2023-04-25 07:00:00,2023-04-25 07:15:00,111,10
1,2023-04-25 07:00:00,2023-04-25 07:30:00,112,1
2,2023-04-25 07:00:00,2023-04-25 07:30:00,176,14
3,2023-04-25 07:00:00,2023-04-25 07:30:00,162,7
4,2023-04-25 07:00:00,2023-04-25 07:45:00,166,2
5,2023-04-25 07:00:00,2023-04-25 08:00:00,126,6
6,2023-04-25 07:00:00,2023-04-25 08:45:00,30,0
7,2023-04-25 07:00:00,2023-04-25 09:45:00,3,5
8,2023-04-25 07:15:00,2023-04-25 07:30:00,196,2
9,2023-04-25 07:15:00,2023-04-25 07:30:00,36,0
10,2023-04-25 07:15:00,2023-04-25 08:00:00,162,17
11,2023-04-25 07:15:00,2023-04-25 09:30:00,14,8
12,2023-04-25 07:30:00,2023-04-25 07:45:00,94,15
13,2023-04-25 07:30:00,2023-04-25 07:45:00,151,19
14,2023-04-25 07:30:00,2023-04-25 08:15:00,51,10
15,2023-04-25 07:45:00,2023-04-25 08:30:00,194,1
16,2023-04-25 07:45:00,2023-04-25 08:45:00,194,1
17,2023-04-25 07:45:00,2023-04-25 09:00:00,14,15
18,2023-04-25 07:45:00,2023-04-25 09:30:00,160,10
19,2023-04-25 08:00:00,2023-04-25 08:15:00,91,16
20,2023-04-25 08:00:00,2023-04-25 08:45:00,178,0
21,2023-04-25 08:00:00,2023-04-25 09:00:00,76,10
22,2023-04-25 08:00:00,2023-04-25 09:45:00,84,12
23,2023-04-25 08:30:00,2023-04-25 10:30:00,151,13
24,2023-04-25 08:45:00,2023-04-25 11:30:00,36,6
25,2023-04-25 09:00:00,2023-04-25 10:45:00,51,17
26,2023-04-25 09:15:00,2023-04-25 10:30:00,126,10
27,2023-04-25 09:15:00,2023-04-25 10:30:00,146,0
28,2023-04-25 09:30:00,2023-04-25 10:30:00,30,10
29,2023-04-25 09:30:00,2023-04-25 10:45:00,94,16
30,2023-04-25 09:45:00,2023-04-25 10:30:00,166,14
31,2023-04-25 09:45:00,2023-04-25 12:00:00,57,15
32,2023-04-25 10:00:00,2023-04-25 11:00:00,178,14
33,2023-04-25 10:00:00,2023-04-25 12:45:00,136,12
34,2023-04-25 10:15:00,2023-04-25 10:45:00,19,19
35,2023-04-25 10:15:00,2023-04-25 12:15:00,30,10
36,2023-04-25 10:45:00,2023-04-25 12:00:00,76,2
37,2023-04-25 10:45:00,2023-04-25 12:30:00,3,16
38,2023-04-25 11:00:00,2023-04-25 11:15:00,115,6
39,2023-04-25 11:00:00,2023-04-25 12:15:00,196,10
40,2023-04-25 11:15:00,2023-04-25 11:30:00,111,11
41,2023-04-25 11:30:00,2023-04-25 13:45:00,196,10
42,2023-04-25 11:30:00,2023-04-25 14:15:00,150,13
43,2023-04-25 11:45:00,2023-04-25 12:15:00,63,11
44,2023-04-25 11:45:00,2023-04-25 13:15:00,115,6
45,2023-04-25 11:45:00,2023-04-25 14:15:00,178,16
46,2023-04-25 11:45:00,2023-04-25 14:15:00,94,11
47,2023-04-25 12:00:00,2023-04-25 12:15:00,19,16
48,2023-04-25 12:15:00,2023-04-25 12:30:00,111,11
49,2023-04-25 12:15:00,2023-04-25 12:45:00,94,19
50,2023-04-25 12:15:00,2023-04-25 12:45:00,136,18
51,2023-04-25 12:15:00,2023-04-25 13:00:00,112,17
52,2023-04-25 12:15:00,2023-04-25 14:45:00,81,18
53,2023-04-25 12:30:00,2023-04-25 12:45:00,51,13
54,2023-04-25 12:45:00,2023-04-25 14:30:00,194,0
55,2023-04-25 13:00:00,2023-04-25 14:00:00,63,13
56,2023-04-25 13:00:00,2023-04-25 14:45:00,166,10
57,2023-04-25 13:15:00,2023-04-25 13:45:00,36,10
58,2023-04-25 13:15:00,2023-04-25 13:45:00,19,10
59,2023-04-25 13:45:00,2023-04-25 14:45:00,115,15
60,2023-04-25 13:45:00,2023-04-25 15:45:00,151,0
61,2023-04-25 14:00:00,2023-04-25 16:45:00,30,4
62,2023-04-25 14:15:00,2023-04-25 15:15:00,51,15
63,2023-04-25 14:15:00,2023-04-25 16:00:00,112,13
64,2023-04-25 14:15:00,2023-04-25 16:45:00,151,13
65,2023-04-25 14:30:00,2023-04-25 15:15:00,136,15
66,2023-04-25 14:30:00,2023-04-25 17:15:00,57,4
67,2023-04-25 15:00:00,2023-04-25 16:15:00,194,6
68,2023-04-25 15:30:00,2023-04-25 16:00:00,167,6
69,2023-04-25 15:30:00,2023-04-25 18:15:00,19,15
70,2023-04-25 15:45:00,2023-04-25 16:00:00,76,11
71,2023-04-25 15:45:00,2023-04-25 17:00:00,81,17
72,2023-04-25 15:45:00,2023-04-25 17:00:00,146,10
73,2023-04-25 16:00:00,2023-04-25 18:30:00,160,3
74,2023-04-25 16:15:00,2023-04-25 16:30:00,196,0
75,2023-04-25 16:15:00,2023-04-25 16:45:00,126,16
76,2023-04-25 16:15:00,2023-04-25 18:45:00,3,17
77,2023-04-25 16:30:00,2023-04-25 17:45:00,3,10
78,2023-04-25 16:45:00,2023-04-25 17:00:00,91,16
79,2023-04-25 16:45:00,2023-04-25 17:15:00,76,17
80,2023-04-25 16:45:00,2023-04-25 17:45:00,178,10
81,2023-04-25 17:00:00,2023-04-25 18:00:00,84,8
82,2023-04-25 17:15:00,2023-04-25 19:00:00,178,1
83,2023-04-25 17:15:00,2023-04-25 19:00:00,51,17
84,2023-04-25 17:15:00,2023-04-25 19:15:00,51,17
85,2023-04-25 17:15:00,2023-04-25 19:30:00,136,5
86,2023-04-25 17:30:00,2023-04-25 18:45:00,150,1
87,2023-04-25 17:30:00,2023-04-25 19:30:00,146,0
88,2023-04-25 17:45:00,2023-04-25 18:15:00,112,17
89,2023-04-25 17:45:00,2023-04-25 18:45:00,14,4
90,2023-04-25 18:00:00,2023-04-25 20:15:00,3,12
91,2023-04-25 18:15:00,2023-04-25 18:30:00,30,2
92,2023-04-25 18:15:00,2023-04-25 18:45:00,194,0
93,2023-04-25 18:15:00,2023-04-25 19:00:00,162,15
94,2023-04-25 18:15:00,2023-04-25 19:30:00,178,11
95,2023-04-25 18:15:00,2023-04-25 19:45:00,126,13
96,2023-04-25 18:30:00,2023-04-25 19:45:00,115,0
97,2023-04-25 18:45:00,2023-04-25 20:15:00,146,2
98,2023-04-25 19:00:00,2023-04-25 19:30:00,111,1
99,2023-04-25 19:00:00,2023-04-25 20:30:00,178,14
100,2023-04-25 19:15:00,2023-04-25 21:00:00,81,15
101,2023-04-25 19:30:00,2023-04-25 20:45:00,91,1
102,2023-04-25 19:30:00,2023-04-25 21:00:00,91,10
103,2023-04-25 19:30:00,2023-04-25 21:00:00,162,17
104,2023-04-25 19:45:00,2023-04-25 20:30:00,178,11
105,2023-04-25 19:45:00,2023-04-25 20:30:00,51,15
106,2023-04-25 19:45:00,2023-04-25 20:45:00,84,12
107,2023-04-25 19:45:00,2023-04-25 20:45:00,166,3
108,2023-04-25 20:15:00,2023-04-25 20:30:00,136,19
109,2023-04-25 20:15:00,2023-04-25 20:45:00,30,7
110,2023-04-25 20:15:00,2023-04-25 20:45:00,19,3
111,2023-04-25 20:30:00,2023-04-25 21:00:00,176,13
112,2023-04-25 20:30:00,2023-04-25 21:00:00,146,1
113,2023-04-25 20:45:00,2023-04-25 21:00:00,194,3
